sequence,cue,start_frame,end_frame,text,green_keyword
short 01 - AI that cuts server costs,13,303,353,THAT MY SERVERS GET,
short 01 - AI that cuts server costs,14,353,374,LESS LOAD,
short 01 - AI that cuts server costs,15,377,396,BECAUSE WE NEED TO,
short 01 - AI that cuts server costs,16,396,423,BE ABLE TO SCALE,
short 01 - AI that cuts server costs,17,423,450,ON THE SAME AMOUNT,
short 01 - AI that cuts server costs,18,450,474,"OF SERVERS,",
short 01 - AI that cuts server costs,19,486,552,AND IT DID EVERYTHING.,
short 01 - AI that cuts server costs,20,552,609,"AND MY GRAPHS, I",
short 01 - AI that cuts server costs,21,609,620,JUST SEE,
short 01 - AI that cuts server costs,22,620,636,THE RAM AND,
short 01 - AI that cuts server costs,23,636,651,THE MEMORY.,
short 01 - AI that cuts server costs,24,651,681,I SEE A DROP.,
short 01 - AI that cuts server costs,25,684,714,SO THAT'S PERFECT.,
short 01 - AI that cuts server costs,26,714,747,AND IT JUST KEEPS,
short 01 - AI that cuts server costs,27,747,788,OPTIMIZING QUERIES,
short 01 - AI that cuts server costs,28,788,810,AND EVERYTHING.,
short 01 - AI that cuts server costs - 16x9,1,0,20,THE FIRST THING I,
short 01 - AI that cuts server costs - 16x9,2,20,53,DO WITH EVERY MODEL,
short 01 - AI that cuts server costs - 16x9,3,57,86,IS CHECK MY,
short 01 - AI that cuts server costs - 16x9,4,86,105,ENTIRE CODEBASE,CODEBASE
short 01 - AI that cuts server costs - 16x9,5,105,137,FOR A FEW PROJECTS,
short 01 - AI that cuts server costs - 16x9,6,137,168,THAT WE JUST KEEP,
short 01 - AI that cuts server costs - 16x9,7,168,201,ON CONTINUOUSLY,
short 01 - AI that cuts server costs - 16x9,8,201,219,UPGRADING.,
short 01 - AI that cuts server costs - 16x9,9,219,240,WE IMPROVED,
short 01 - AI that cuts server costs - 16x9,10,240,258,EVERYTHING.,
short 01 - AI that cuts server costs - 16x9,11,258,279,"THEN I SAID, I",
short 01 - AI that cuts server costs - 16x9,12,279,303,WANT TO MAKE SURE,
short 01 - AI that cuts server costs - 16x9,13,303,353,THAT MY SERVERS GET,
short 01 - AI that cuts server costs - 16x9,14,353,374,LESS LOAD,
short 01 - AI that cuts server costs - 16x9,15,377,396,BECAUSE WE NEED TO,
short 01 - AI that cuts server costs - 16x9,16,396,423,BE ABLE TO SCALE,
short 01 - AI that cuts server costs - 16x9,17,423,450,ON THE SAME AMOUNT,
short 01 - AI that cuts server costs - 16x9,18,450,474,"OF SERVERS,",
short 01 - AI that cuts server costs - 16x9,19,486,552,AND IT DID EVERYTHING.,
short 01 - AI that cuts server costs - 16x9,20,552,609,"AND MY GRAPHS, I",
short 01 - AI that cuts server costs - 16x9,21,609,620,JUST SEE,
short 01 - AI that cuts server costs - 16x9,22,620,636,THE RAM AND,
short 01 - AI that cuts server costs - 16x9,23,636,651,THE MEMORY.,
short 01 - AI that cuts server costs - 16x9,24,651,681,I SEE A DROP.,
short 01 - AI that cuts server costs - 16x9,25,684,714,SO THAT'S PERFECT.,
short 01 - AI that cuts server costs - 16x9,26,714,747,AND IT JUST KEEPS,
short 01 - AI that cuts server costs - 16x9,27,747,788,OPTIMIZING QUERIES,
short 01 - AI that cuts server costs - 16x9,28,788,810,AND EVERYTHING.,
short 02 - You do not need the smartest AI,1,0,29,IF YOU ARE BUILDING,
short 02 - You do not need the smartest AI,2,29,63,WORDPRESS WEBSITES,
short 02 - You do not need the smartest AI,3,63,86,AND YOU'RE DOING LIKE,
short 02 - You do not need the smartest AI,4,86,129,"50 WEBSITES PER MONTH,",
short 02 - You do not need the smartest AI,5,137,171,THEN THE CHEAPER MODEL,
short 02 - You do not need the smartest AI,6,171,197,IS GOOD ENOUGH.,
short 02 - You do not need the smartest AI,7,204,239,THERE IS NO BIG,
short 02 - You do not need the smartest AI,8,239,275,COMPLICATED CODE,
short 02 - You do not need the smartest AI,9,275,288,NEEDED.,
short 02 - You do not need the smartest AI,10,288,309,MAYBE IF YOU HAVE,
short 02 - You do not need the smartest AI,11,309,345,LIKE THE SAME ROUTINES,ROUTINES
short 02 - You do not need the smartest AI,12,345,368,ALL THE TIME AND,
short 02 - You do not need the smartest AI,13,368,381,YOU HAVE THE,
short 02 - You do not need the smartest AI,14,381,405,SAME TASK,
short 02 - You do not need the smartest AI,15,405,425,AGAIN AND AGAIN,
short 02 - You do not need the smartest AI,16,425,438,"AND AGAIN,",
short 02 - You do not need the smartest AI,17,438,456,THEN YOU DON'T NEED,
short 02 - You do not need the smartest AI,18,456,477,TO UPGRADE THE,
short 02 - You do not need the smartest AI,19,477,498,FRONTIER MODEL.,
short 02 - You do not need the smartest AI,20,498,522,BUT ALSO IF YOU,
short 02 - You do not need the smartest AI,21,522,546,JUST PUT IT IN-HOUSE,
short 02 - You do not need the smartest AI,22,546,567,AND YOU HAVE LIKE,
short 02 - You do not need the smartest AI,23,567,594,A BIG WAREHOUSE,
short 02 - You do not need the smartest AI,24,594,609,AND YOU NEED TO,
short 02 - You do not need the smartest AI,25,609,636,"TRACK, YOU KNOW,",
short 02 - You do not need the smartest AI,26,636,669,STOCK AND,
short 02 - You do not need the smartest AI,27,669,711,EVERYTHING IN-HOUSE,
short 02 - You do not need the smartest AI,28,711,734,THAT PEOPLE NOW,
short 02 - You do not need the smartest AI,29,734,755,DO MANUALLY,
short 02 - You do not need the smartest AI,30,755,774,AND YOU ALWAYS,
short 02 - You do not need the smartest AI,31,774,803,HAVE DIFFERENCES,
short 02 - You do not need the smartest AI,32,810,839,AND THAT WILL COST,
short 02 - You do not need the smartest AI,33,839,860,SO MUCH MONEY.,
short 02 - You do not need the smartest AI,34,860,906,THE 5K WILL BE,
short 02 - You do not need the smartest AI,35,906,926,EARNED BACK IN,
short 02 - You do not need the smartest AI,36,926,939,A MONTH.,
